			Номер страницы		SLP1		SLP1		IAST  + фopмa		RUS		ENG		CHEH	
<L>	7137	<pc>	305	<K1>	saMroDa	</K1><K2>	saMroDa	</K2>@<K2>	saṃrodha m.	</K2><p><LANG n = "RUSSIAN">	ограничение, задерживание, осада, несправедливость	</LANG><p><LANG n = "ENGLISH">	restraint, detaining, siege, injury	</LANG><p><LANG n = "CZECH">	omezení, zadržování, obležení, bezpráví	<p>@<LEND>
<L>	7138	<pc>	305	<K1>	saMlipta	</K1><K2>	saMlipta	</K2>@<K2>	saṃlipta (pp. < lip) 	</K2><p><LANG n = "RUSSIAN">	загрязненный, намазанный ядом	</LANG><p><LANG n = "ENGLISH">	smeared, covered with poison 	</LANG><p><LANG n = "CZECH">	pomazaný, natřený jedem	<p>@<LEND>
<L>	7139	<pc>	305	<K1>	saMvat	</K1><K2>	saMvat	</K2>@<K2>	saṃvat abbr. < saṃvatsara, q. v.	</K2><p><LANG n = "RUSSIAN">	"в году"	</LANG><p><LANG n = "ENGLISH">	"in the year" 	</LANG><p><LANG n = "CZECH">	"v roce"	<p>@<LEND>
<L>	7140	<pc>	305	<K1>	saMvatsara	</K1><K2>	saMvatsara	</K2>@<K2>	saṃvatsara m., (n.) 	</K2><p><LANG n = "RUSSIAN">	год	</LANG><p><LANG n = "ENGLISH">	a year	</LANG><p><LANG n = "CZECH">	rok	<p>@<LEND>
<L>	7141	<pc>	305	<K1>	saMvatsare	</K1><K2>	saMvatsare	</K2>@<K2>	saṃvatsare loc.	</K2><p><LANG n = "RUSSIAN">	спустя год	</LANG><p><LANG n = "ENGLISH">	after a year	</LANG><p><LANG n = "CZECH">	po roce	<p>@<LEND>
<L>	7142	<pc>	305	<K1>	saMvanana	</K1><K2>	saMvanana	</K2>@<K2>	saṃvanana n.	</K2><p><LANG n = "RUSSIAN">	примирение, умилостивление	</LANG><p><LANG n = "ENGLISH">	conciliation, propitiation 	</LANG><p><LANG n = "CZECH">	smíření, smír	<p>@<LEND>
<L>	7143	<pc>	305	<K1>	saMvara	</K1><K2>	saMvara	</K2>@<K2>	saṃvara m.	</K2><p><LANG n = "RUSSIAN">	плотина; n. задерживание, снисходительность	</LANG><p><LANG n = "ENGLISH">	a dam; n. restraint, forbearance	</LANG><p><LANG n = "CZECH">	hráz; n. zadržování, shovívavost	<p>@<LEND>
<L>	7144	<pc>	305	<K1>	saMvaraRa	</K1><K2>	saMvaraRa	</K2>@<K2>	saṃvaraṇa	</K2><p><LANG n = "RUSSIAN">	закрывающий; m., n. pr.	</LANG><p><LANG n = "ENGLISH">	closing; m., n. pr.	</LANG><p><LANG n = "CZECH">	zavírající; m, n. pr.	<p>@<LEND>
<L>	7145	<pc>	306	<K1>	saMvarga	</K1><K2>	saMvarga	</K2>@<K2>	saṃvarga m.	</K2><p><LANG n = "RUSSIAN">	присваивающий себе, совершенно уничтожающий	</LANG><p><LANG n = "ENGLISH">	appropriating to oneself, consuming completely	</LANG><p><LANG n = "CZECH">	přivlastňující si, úplně ničící	<p>@<LEND>
<L>	7146	<pc>	306	<K1>	saMvala	</K1><K2>	saMvala	</K2>@<K2>	saṃvala n.	</K2><p><LANG n = "RUSSIAN">	провизия на дорогу	</LANG><p><LANG n = "ENGLISH">	provender for a journey 	</LANG><p><LANG n = "CZECH">	jídlo na cestu	<p>@<LEND>
<L>	7147	<pc>	306	<K1>	saMvid	</K1><K2>	saMvid	</K2>@<K2>	saṃvid f.	</K2><p><LANG n = "RUSSIAN">	понимание, соглашение, соединение, союз	</LANG><p><LANG n = "ENGLISH">	understanding, agreement, connexion, bond	</LANG><p><LANG n = "CZECH">	porozumění, dohoda, spojení, svazek	<p>@<LEND>
<L>	7148	<pc>	306	<K1>	saMvidAna	</K1><K2>	saMvidAna	</K2>@<K2>	saṃvidāna (p. pr. med. < II vid) 	</K2><p><LANG n = "RUSSIAN">	договорившийся, единодушный	</LANG><p><LANG n = "ENGLISH">	aggreeing, being in concord 	</LANG><p><LANG n = "CZECH">	dorozuměvší se, svorný	<p>@<LEND>
<L>	7149	<pc>	306	<K1>	saMviBAgin	</K1><K2>	saMviBAgin	</K2>@<K2>	saṃvibhāgin	</K2><p><LANG n = "RUSSIAN">	принимающий участие, предоставляющий часть (другим) 	</LANG><p><LANG n = "ENGLISH">	sharing with others, giving shares to others	</LANG><p><LANG n = "CZECH">	podílející se, dávající podíl (jiným) 	<p>@<LEND>
<L>	7150	<pc>	306	<K1>	saMvIta	</K1><K2>	saMvIta	</K2>@<K2>	saṃvīta (pp. < vyā) 	</K2><p><LANG n = "RUSSIAN">	закутанный, одетый	</LANG><p><LANG n = "ENGLISH">	covered over, clothed 	</LANG><p><LANG n = "CZECH">	zahalen, oděn	<p>@<LEND>
<L>	7151	<pc>	306	<K1>	saMvfj	</K1><K2>	saMvfj	</K2>@<K2>	saṃvṛj	</K2><p><LANG n = "RUSSIAN">	захватывающий, выигрывающий	</LANG><p><LANG n = "ENGLISH">	seizing, gaining	</LANG><p><LANG n = "CZECH">	uchvacující, vyhrávající	<p>@<LEND>
<L>	7152	<pc>	306	<K1>	saMvfta	</K1><K2>	saMvfta	</K2>@<K2>	saṃvṛta (pp. < II var) 	</K2><p><LANG n = "RUSSIAN">	окутанный, окруженный, тайный, переодетый	</LANG><p><LANG n = "ENGLISH">	covered, surrounded by, secret, disguised	</LANG><p><LANG n = "CZECH">	zahalen, obklopen, tajný, přestrojený	<p>@<LEND>
<L>	7153	<pc>	306	<K1>	saMvega	</K1><K2>	saMvega	</K2>@<K2>	saṃvega m.	</K2><p><LANG n = "RUSSIAN">	взволнованность, усердие, интенсивность	</LANG><p><LANG n = "ENGLISH">	excitement, zeal, intensity 	</LANG><p><LANG n = "CZECH">	vzrušení, horlivost, intensita	<p>@<LEND>
<L>	7154	<pc>	306	<K1>	saMSaya	</K1><K2>	saMSaya	</K2>@<K2>	saṃśaya m.	</K2><p><LANG n = "RUSSIAN">	сомнение, неуверенность, опасность	</LANG><p><LANG n = "ENGLISH">	doubt, uncertainty, danger 	</LANG><p><LANG n = "CZECH">	pochyba, nejistota, nebezpečí	<p>@<LEND>
<L>	7155	<pc>	306	<K1>	na	</K1><K2>	na	</K2>@<K2>	na saṃśayaḥ	</K2><p><LANG n = "RUSSIAN">	несомненно	</LANG><p><LANG n = "ENGLISH">	without doubt	</LANG><p><LANG n = "CZECH">	bez pochyby	<p>@<LEND>
<L>	7156	<pc>	306	<K1>	saMSraya	</K1><K2>	saMSraya	</K2>@<K2>	saṃśraya m. 	</K2><p><LANG n = "RUSSIAN">	соединение, союз, убежище, жительство; -° а. пребывающий	</LANG><p><LANG n = "ENGLISH">	connection, alliance, refuge, abode; -° a. living	</LANG><p><LANG n = "CZECH">	spojení, spolek, útočiště, sídlo; -° a. pobývající	<p>@<LEND>
<L>	7157	<pc>	306	<K1>	saMsad	</K1><K2>	saMsad	</K2>@<K2>	saṃsad f.	</K2><p><LANG n = "RUSSIAN">	заседание, собрание, королевский или судебный двор	</LANG><p><LANG n = "ENGLISH">	session, assembly, court of a king or of justice	</LANG><p><LANG n = "CZECH">	sedění, shromáždění, královský nebo soudní dvůr	<p>@<LEND>
<L>	7158	<pc>	306	<K1>	saMsarga	</K1><K2>	saMsarga	</K2>@<K2>	saṃsarga m.	</K2><p><LANG n = "RUSSIAN">	смешение, связь, общение, участие	</LANG><p><LANG n = "ENGLISH">	commixture, contact, intercourse, partaking	</LANG><p><LANG n = "CZECH">	smíšení, styk, obcování, úcast	<p>@<LEND>
<L>	7159	<pc>	306	<K1>	saMsAra	</K1><K2>	saMsAra	</K2>@<K2>	saṃsāra m.	</K2><p><LANG n = "RUSSIAN">	блуждание, круговорот жизни, жизнь	</LANG><p><LANG n = "ENGLISH">	wandering about, circuit of existence, life	</LANG><p><LANG n = "CZECH">	bloudění, koloběh života, život	<p>@<LEND>
<L>	7160	<pc>	306	<K1>	saMskAra	</K1><K2>	saMskAra	</K2>@<K2>	saṃskāra m.	</K2><p><LANG n = "RUSSIAN">	подготовка, посвящение, таинство, обряд, похоронные обряды, следы в мысли (впечатления) 	</LANG><p><LANG n = "ENGLISH">	making ready, preparation, sanctification, sacrament, ceremony or rite, obsequial ceremonies, impression on the mind	</LANG><p><LANG n = "CZECH">	upravování, připravování, posvěcení, svátost, obřad, pohřební obřady, stopy v mysli	<p>@<LEND>
<L>	7161	<pc>	306	<K1>	saMskfta	</K1><K2>	saMskfta	</K2>@<K2>	saṃskṛta (pp. < I kar) 	</K2><p><LANG n = "RUSSIAN">	составленный, приготовленный, изысканный, выработанный, санскртский; n. санскртский язык	</LANG><p><LANG n = "ENGLISH">	put together, prepared, polished, highly elaborated, Sanscritic; n. the Sanskrit language	</LANG><p><LANG n = "CZECH">	složený, upravený, uhlazený, vypěstovaný, sanskrtský; n. sanskrt	<p>@<LEND>
<L>	7162	<pc>	306	<K1>	saMsTa	</K1><K2>	saMsTa	</K2>@<K2>	saṃstha	</K2><p><LANG n = "RUSSIAN">	стоящий, находящийся, принадлежащий	</LANG><p><LANG n = "ENGLISH">	standing, living, belonging 	</LANG><p><LANG n = "CZECH">	stojící, zdržující se, patřící	<p>@<LEND>
<L>	7163	<pc>	306-307	<K1>	saMsTApya	</K1><K2>	saMsTApya	</K2>@<K2>	saṃsthāpya	</K2><p><LANG n = "RUSSIAN">	тот, который должен быть поставлен (vaśe под власть, под надзор) 	</LANG><p><LANG n = "ENGLISH">	to be placed (vase in subjection to, under control of) 	</LANG><p><LANG n = "CZECH">	mající býti postaven (vaśe pod moc, pod dozor) 	<p>@<LEND>
<L>	7164	<pc>	307	<K1>	saMsTita	</K1><K2>	saMsTita	</K2>@<K2>	saṃsthita (pp. < sthā) 	</K2><p><LANG n = "RUSSIAN">	стоящий, находящийся, опытный, сосредоточенный на что-нибудь	</LANG><p><LANG n = "ENGLISH">	standing, abiding, acquainted with, intent upon	</LANG><p><LANG n = "CZECH">	stojící, zdržující se, zkušený, upjatý nа něco	<p>@<LEND>
<L>	7165	<pc>	307	<K1>	saMsTiti	</K1><K2>	saMsTiti	</K2>@<K2>	saṃsthiti f. 	</K2><p><LANG n = "RUSSIAN">	стояние, настаивание на чем-нибудь, установленный порядок, ограничение, условие, свойство	</LANG><p><LANG n = "ENGLISH">	standing on, insistence upon, fixed order, restraint, condition, quality	</LANG><p><LANG n = "CZECH">	stání, trvání nа něčеm, stanovený pořádek, omezení, podmínka, vlastnost	<p>@<LEND>
<L>	7166	<pc>	307	<K1>	saMsparSa	</K1><K2>	saMsparSa	</K2>@<K2>	saṃsparśa m.	</K2><p><LANG n = "RUSSIAN">	прикосновение, контакт	</LANG><p><LANG n = "ENGLISH">	touch, contact	</LANG><p><LANG n = "CZECH">	dotek, styk	<p>@<LEND>
<L>	7167	<pc>	307	<K1>	saMhati	</K1><K2>	saMhati	</K2>@<K2>	saṃhati f.	</K2><p><LANG n = "RUSSIAN">	соединение, груда, множество	</LANG><p><LANG n = "ENGLISH">	union, heap, multitude 	</LANG><p><LANG n = "CZECH">	spojení, hromada, množství	<p>@<LEND>
<L>	7168	<pc>	307	<K1>	saMhita	</K1><K2>	saMhita	</K2>@<K2>	saṃhita (pp. < I dhā) 	</K2><p><LANG n = "RUSSIAN">	составленный, соединенный, объединенный	</LANG><p><LANG n = "ENGLISH">	put together, combined, joined 	</LANG><p><LANG n = "CZECH">	složený, spojený, sdružený	<p>@<LEND>
<L>	7169	<pc>	307	<K1>	saMhitA	</K1><K2>	saMhitA	</K2>@<K2>	saṃhitā f.	</K2><p><LANG n = "RUSSIAN">	сборник	</LANG><p><LANG n = "ENGLISH">	collection of texts 	</LANG><p><LANG n = "CZECH">	sborník, sbírka	<p>@<LEND>
<L>	7170	<pc>	307	<K1>	saMhfzwa	</K1><K2>	saMhfzwa	</K2>@<K2>	saṃhṛṣṭa (pp. < harṣ) 	</K2><p><LANG n = "RUSSIAN">	ощетинивающийся, обрадованный, веселый	</LANG><p><LANG n = "ENGLISH">	bristling, delighted, glad 	</LANG><p><LANG n = "CZECH">	ježící se, rozradostněný, veselý	<p>@<LEND>
<L>	7171	<pc>	307	<K1>	sakaRwaka	</K1><K2>	sakaRwaka	</K2>@<K2>	sakaṇṭaka	</K2><p><LANG n = "RUSSIAN">	c костями (рыбьими) 	</LANG><p><LANG n = "ENGLISH">	furnished with bones (said of a fish) 	</LANG><p><LANG n = "CZECH">	s kostmi (rybími) 	<p>@<LEND>
<L>	7172	<pc>	307	<K1>	sakala	</K1><K2>	sakala	</K2>@<K2>	sakala	</K2><p><LANG n = "RUSSIAN">	соединенный c частями, весь, целый, полный	</LANG><p><LANG n = "ENGLISH">	together with the parts, all, whole, entire	</LANG><p><LANG n = "CZECH">	spojený s částmi, všechen, celý, úplný	<p>@<LEND>
<L>	7173	<pc>	307	<K1>	sakAma	</K1><K2>	sakAma	</K2>@<K2>	sakāma	</K2><p><LANG n = "RUSSIAN">	полный любви, влюбленный	</LANG><p><LANG n = "ENGLISH">	full of love, enamoured 	</LANG><p><LANG n = "CZECH">	plný lásky, zamilovaný	<p>@<LEND>
<L>	7174	<pc>	307	<K1>	sakASa	</K1><K2>	sakASa	</K2>@<K2>	sakāśa m.	</K2><p><LANG n = "RUSSIAN">	присутствие, близость	</LANG><p><LANG n = "ENGLISH">	presence, nearness 	</LANG><p><LANG n = "CZECH">	přítomnost, blízkost	<p>@<LEND>
<L>	7175	<pc>	307	<K1>	sakASAt	</K1><K2>	sakASAt	</K2>@<K2>	sakāśāt	</K2><p><LANG n = "RUSSIAN">	от, для	</LANG><p><LANG n = "ENGLISH">	from, on behalf of 	</LANG><p><LANG n = "CZECH">	od, pro	<p>@<LEND>
<L>	7176	<pc>	307	<K1>	sakinnara	</K1><K2>	sakinnara	</K2>@<K2>	sakinnara (cf. kiṃnara) 	</K2><p><LANG n = "RUSSIAN">	вместе c киннарами	</LANG><p><LANG n = "ENGLISH">	together with the kinnaras 	</LANG><p><LANG n = "CZECH">	spolu s kinnary	<p>@<LEND>
<L>	7177	<pc>	307	<K1>	sakuYjara	</K1><K2>	sakuYjara	</K2>@<K2>	sakuñjara	</K2><p><LANG n = "RUSSIAN">	со слонами	</LANG><p><LANG n = "ENGLISH">	with elephants	</LANG><p><LANG n = "CZECH">	se slony	<p>@<LEND>
<L>	7178	<pc>	307	<K1>	sakft	</K1><K2>	sakft	</K2>@<K2>	sakṛt adv.	</K2><p><LANG n = "RUSSIAN">	один раз; однажды, когда-то; вдруг, внезапно, навсегда	</LANG><p><LANG n = "ENGLISH">	once; formerly; at once, suddenly, for ever	</LANG><p><LANG n = "CZECH">	jedenkrát; jednou, kdysi; najednou, náhle, provždy	<p>@<LEND>
<L>	7179	<pc>	307	<K1>	sakta	</K1><K2>	sakta	</K2>@<K2>	sakta (pp. < sañj) 	</K2><p><LANG n = "RUSSIAN">	льнущий, сосредоточенный, преданный	</LANG><p><LANG n = "ENGLISH">	clinging, intent upon, attached 	</LANG><p><LANG n = "CZECH">	lpící, upjatý nač, oddaný	<p>@<LEND>
<L>	7180	<pc>	307	<K1>	saktu	</K1><K2>	saktu	</K2>@<K2>	saktu m.	</K2><p><LANG n = "RUSSIAN">	жаренные зерна крупно смолотые	</LANG><p><LANG n = "ENGLISH">	coarsely ground parched grains 	</LANG><p><LANG n = "CZECH">	pražená zrna hrubě pomletá	<p>@<LEND>
<L>	7181	<pc>	307	<K1>	sakTan	</K1><K2>	sakTan	</K2>@<K2>	sakthan, sakthi n.	</K2><p><LANG n = "RUSSIAN">	бедро	</LANG><p><LANG n = "ENGLISH">	the thigh	</LANG><p><LANG n = "CZECH">	stehno	<p>@<LEND>
<L>	7182	<pc>	307	<K1>	saKa	</K1><K2>	saKa	</K2>@<K2>	sakha (-°) m.	</K2><p><LANG n = "RUSSIAN">	приятель, друг; провожаемый	</LANG><p><LANG n = "ENGLISH">	а friend, associate; accompanied by	</LANG><p><LANG n = "CZECH">	přítel druh; doprovázen	<p>@<LEND>
<L>	7183	<pc>	307	<K1>	saKi	</K1><K2>	saKi	</K2>@<K2>	sakhi m.	</K2><p><LANG n = "RUSSIAN">	приятель, друг	</LANG><p><LANG n = "ENGLISH">	a friend, associate	</LANG><p><LANG n = "CZECH">	přítel, druh	<p>@<LEND>
<L>	7184	<pc>	307	<K1>	saKI	</K1><K2>	saKI	</K2>@<K2>	sakhī f.	</K2><p><LANG n = "RUSSIAN">	приятельница, компаньонка	</LANG><p><LANG n = "ENGLISH">	a female friend or companion 	</LANG><p><LANG n = "CZECH">	přítelkyně, společnice	<p>@<LEND>
<L>	7185	<pc>	307	<K1>	saKya	</K1><K2>	saKya	</K2>@<K2>	sakhya n. (RV. X, 10 sakhyā < dat. sakhyāya) 	</K2><p><LANG n = "RUSSIAN">	дружба	</LANG><p><LANG n = "ENGLISH">	friendship	</LANG><p><LANG n = "CZECH">	přátelství	<p>@<LEND>
<L>	7186	<pc>	307	<K1>	saganDarva	</K1><K2>	saganDarva	</K2>@<K2>	sagandharva	</K2><p><LANG n = "RUSSIAN">	вместе c гандхарвами	</LANG><p><LANG n = "ENGLISH">	together with the gandharvas 	</LANG><p><LANG n = "CZECH">	spolu s gandharvy	<p>@<LEND>
<L>	7187	<pc>	307	<K1>	sagarBa	</K1><K2>	sagarBa	</K2>@<K2>	sagarbha	</K2><p><LANG n = "RUSSIAN">	беременный	</LANG><p><LANG n = "ENGLISH">	pregnant	</LANG><p><LANG n = "CZECH">	těhotný	<p>@<LEND>
<L>	7188	<pc>	307	<K1>	saNk	</K1><K2>	saNk	</K2>@<K2>	saṅk-, saṅkh- v. saṃk-, saṃkh- 	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	7189	<pc>	307-308	<K1>	saNga	</K1><K2>	saNga	</K2>@<K2>	I saṅga m.	</K2><p><LANG n = "RUSSIAN">	приверженность, связь, общение, наклонность, привязанность	</LANG><p><LANG n = "ENGLISH">	clinging to, contact with, intercourse, propensity to, affection	</LANG><p><LANG n = "CZECH">	lpění, styk, obcování, náklonnost, příchylnost	<p>@<LEND>
<L>	7190	<pc>	308	<K1>	saNga	</K1><K2>	saNga	</K2>@<K2>	II saṅga m., v. I samga m. 	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	7191	<pc>	308	<K1>	saNgata	</K1><K2>	saNgata	</K2>@<K2>	saṅgata, saṅgati, saṅgama &c. v. saṃgata, saṃgati, saṃgama &c. 	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	7192	<pc>	308	<K1>	saNGa	</K1><K2>	saNGa	</K2>@<K2>	saṅgha, -aṭṭana v. saṃgḥa, -aṭṭana	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	7193	<pc>	308	<K1>	sac	</K1><K2>	sac	</K2>@<K2>	√sac (sacati), sacate, siṣakti 	</K2><p><LANG n = "RUSSIAN">	быть объединеным, соединяться, следовать, быть благосклонным, помогать	</LANG><p><LANG n = "ENGLISH">	to be associated, associate oneself, accompany, follow, favour, help	</LANG><p><LANG n = "CZECH">	býti sdružen, připojovati se, sledovati, provázeti, býti přízniv, pomáhati	<p>@<LEND>
<L>	7194	<pc>	308	<K1>	samsac	</K1><K2>	samsac	</K2>@<K2>	 +samsac	</K2><p><LANG n = "RUSSIAN">	быть объединенным или связанным	</LANG><p><LANG n = "ENGLISH">	to be associated or united 	</LANG><p><LANG n = "CZECH">	býti sdružen nebo spojen	<p>@<LEND>
<L>	7195	<pc>	308	<K1>	sacarAcara	</K1><K2>	sacarAcara	</K2>@<K2>	 +sacarācara	</K2><p><LANG n = "RUSSIAN">	содержащий все, что движется и не движется	</LANG><p><LANG n = "ENGLISH">	containing everything moving and motionless	</LANG><p><LANG n = "CZECH">	obsahující vše, co se hýbe i nehýbe	<p>@<LEND>
<L>	7196	<pc>	308	<K1>	sacA	</K1><K2>	sacA	</K2>@<K2>	sacā adv.	</K2><p><LANG n = "RUSSIAN">	близко; + loc.: c	</LANG><p><LANG n = "ENGLISH">	near; + loc.: together with 	</LANG><p><LANG n = "CZECH">	blízko; + loc.: s	<p>@<LEND>
<L>	7197	<pc>	308	<K1>	sacABU	</K1><K2>	sacABU	</K2>@<K2>	sacābhū m.	</K2><p><LANG n = "RUSSIAN">	друг, приятель	</LANG><p><LANG n = "ENGLISH">	a fellow, friend	</LANG><p><LANG n = "CZECH">	druh, přítel	<p>@<LEND>
<L>	7198	<pc>	308	<K1>	saciva	</K1><K2>	saciva	</K2>@<K2>	saciva m.	</K2><p><LANG n = "RUSSIAN">	проводник, слуга; (y короля:) министр	</LANG><p><LANG n = "ENGLISH">	a companion, attendant; (with a king:) a minister	</LANG><p><LANG n = "CZECH">	průvodce, sluha; (u krále:) ministr	<p>@<LEND>
<L>	7199	<pc>	308	<K1>	sacetanatA	</K1><K2>	sacetanatA	</K2>@<K2>	sacetanatā f.	</K2><p><LANG n = "RUSSIAN">	сознание	</LANG><p><LANG n = "ENGLISH">	consciousness	</LANG><p><LANG n = "CZECH">	vědomí	<p>@<LEND>
<L>	7200	<pc>	308	<K1>	saj	</K1><K2>	saj	</K2>@<K2>	√saj v. sañj 	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	7201	<pc>	308	<K1>	sajana	</K1><K2>	sajana	</K2>@<K2>	sajana	</K2><p><LANG n = "RUSSIAN">	c людьми	</LANG><p><LANG n = "ENGLISH">	with people	</LANG><p><LANG n = "CZECH">	s lidmi	<p>@<LEND>
<L>	7202	<pc>	308	<K1>	sajane	</K1><K2>	sajane	</K2>@<K2>	sajane loc. adv.	</K2><p><LANG n = "RUSSIAN">	между людьми, явно	</LANG><p><LANG n = "ENGLISH">	together with people, in public 	</LANG><p><LANG n = "CZECH">	mezi lidmi, veřejně	<p>@<LEND>
<L>	7203	<pc>	308	<K1>	sajalada	</K1><K2>	sajalada	</K2>@<K2>	sajalada	</K2><p><LANG n = "RUSSIAN">	вместе с тучами	</LANG><p><LANG n = "ENGLISH">	together with clouds	</LANG><p><LANG n = "CZECH">	spolu s mraky	<p>@<LEND>
<L>	7204	<pc>	308	<K1>	sajUs	</K1><K2>	sajUs	</K2>@<K2>	sajūs	</K2><p><LANG n = "RUSSIAN">	объединенный; + instr. вместе c	</LANG><p><LANG n = "ENGLISH">	allied; + instr. together with 	</LANG><p><LANG n = "CZECH">	sdružený; + instr. spolu s	<p>@<LEND>
<L>	7205	<pc>	308	<K1>	sajja	</K1><K2>	sajja	</K2>@<K2>	sajja	</K2><p><LANG n = "RUSSIAN">	снабженный тетивой, готовый	</LANG><p><LANG n = "ENGLISH">	furnished with а string, ready 	</LANG><p><LANG n = "CZECH">	opatřený tětivou, připravený	<p>@<LEND>
<L>	7206	<pc>	308	<K1>	sajjana	</K1><K2>	sajjana	</K2>@<K2>	sajjana m.	</K2><p><LANG n = "RUSSIAN">	хороший человек	</LANG><p><LANG n = "ENGLISH">	а good man	</LANG><p><LANG n = "CZECH">	dobrý člověk	<p>@<LEND>
<L>	7207	<pc>	308	<K1>	sajjant	</K1><K2>	sajjant	</K2>@<K2>	sajjant	</K2><p><LANG n = "RUSSIAN">	льнущий, преданный	</LANG><p><LANG n = "ENGLISH">	clinging, attached to 	</LANG><p><LANG n = "CZECH">	ulpívající, oddaný	<p>@<LEND>
<L>	7208	<pc>	308	<K1>	sajjIkar	</K1><K2>	sajjIkar	</K2>@<K2>	sajjī-kar	</K2><p><LANG n = "RUSSIAN">	натягивать тетиву, подготовить	</LANG><p><LANG n = "ENGLISH">	to string (a bow), prepare, make ready	</LANG><p><LANG n = "CZECH">	napínati tětivu, připravovati	<p>@<LEND>
<L>	7209	<pc>	308	<K1>	saYc	</K1><K2>	saYc	</K2>@<K2>	sañc- v. saṃc-	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	7210	<pc>	308	<K1>	saYj	</K1><K2>	saYj	</K2>@<K2>	√sañj saj sajati, -te, pp. sakta	</K2><p><LANG n = "RUSSIAN">	льнуть	</LANG><p><LANG n = "ENGLISH">	to cling to, be attached to 	</LANG><p><LANG n = "CZECH">	lpěti, lnouti	<p>@<LEND>
<L>	7211	<pc>	308	<K1>	sajyate	</K1><K2>	sajyate	</K2>@<K2>	 +pass. sajyate, sajjate 	</K2><p><LANG n = "RUSSIAN">	льнуть, заниматься	</LANG><p><LANG n = "ENGLISH">	to adhere, be occupied with 	</LANG><p><LANG n = "CZECH">	tkvíti, obírati se	<p>@<LEND>
<L>	7212	<pc>	308	<K1>	AsaYj	</K1><K2>	AsaYj	</K2>@<K2>	 +ā (āsañj)	</K2><p><LANG n = "RUSSIAN">	укреплять, привязать	</LANG><p><LANG n = "ENGLISH">	to fasten on, attach	</LANG><p><LANG n = "CZECH">	upevňovati, připoutati	<p>@<LEND>
<L>	7213	<pc>	308	<K1>	visaYj	</K1><K2>	visaYj	</K2>@<K2>	 +vi (viṣaj) 	</K2><p><LANG n = "RUSSIAN">	вешать, класть (руку) 	</LANG><p><LANG n = "ENGLISH">	to hang on, put (the hand) on 	</LANG><p><LANG n = "CZECH">	zavěšovati, pokládati (ruku) 	<p>@<LEND>
<L>	7214	<pc>	308	<K1>	satatam	</K1><K2>	satatam	</K2>@<K2>	satatam adv.	</K2><p><LANG n = "RUSSIAN">	постоянно, всегда	</LANG><p><LANG n = "ENGLISH">	constantly, always	</LANG><p><LANG n = "CZECH">	stále, vždy	<p>@<LEND>
<L>	7215	<pc>	308	<K1>	satI	</K1><K2>	satI	</K2>@<K2>	satī f. (fem. < sant) 	</K2><p><LANG n = "RUSSIAN">	верная супруга	</LANG><p><LANG n = "ENGLISH">	а faithful wife	</LANG><p><LANG n = "CZECH">	věrná choť ?	<p>@<LEND>
<L>	7216	<pc>	308	<K1>	satkAra	</K1><K2>	satkAra	</K2>@<K2>	satkāra m. 	</K2><p><LANG n = "RUSSIAN">	ласковое поведение, угощение, уважение	</LANG><p><LANG n = "ENGLISH">	kind treatment, entertainment, respect	</LANG><p><LANG n = "CZECH">	laskavé jednání, pohoštění, úcta	<p>@<LEND>
<L>	7217	<pc>	308	<K1>	satkfta	</K1><K2>	satkfta	</K2>@<K2>	satkṛta	</K2><p><LANG n = "RUSSIAN">	почитаемый, уважаемый	</LANG><p><LANG n = "ENGLISH">	honoured, respected 	</LANG><p><LANG n = "CZECH">	poctěný, vážený	<p>@<LEND>
<L>	7218	<pc>	308	<K1>	sattama	</K1><K2>	sattama	</K2>@<K2>	sattama (superl. < sant, q. v.) 	</K2><p><LANG n = "RUSSIAN">	самый лучший	</LANG><p><LANG n = "ENGLISH">	the best	</LANG><p><LANG n = "CZECH">	nejlepší	<p>@<LEND>
<L>	7219	<pc>	309	<K1>	sattva	</K1><K2>	sattva	</K2>@<K2>	sattva n.	</K2><p><LANG n = "RUSSIAN">	существование, реальность, сущность, характер, крепкость, храбрость, благородство, добро, высочайшая гуна; m. существо	</LANG><p><LANG n = "ENGLISH">	existence, reality, true essence, nature, character, firmness, courage, magnanimity, goodness, the highest guṇa; m. a living being, creature	</LANG><p><LANG n = "CZECH">	jsoucnost, realita, podstata, povaha, pevnost, odvaha, ušlechtilost, dobro, nejvyšší guṇa; m. bytost, tvor	<p>@<LEND>
